;cuerpo;fecha;seccion;titulo
378;La Viola te propone este bonus track a las predicciones tradicionales. Una versión bizarra y random de mensajes del universo en esta playlistpara que arrobes a tus amigos y juegues con el destino.;17/11/2018;música;"""Astro Music"": este horóscopo es para que leas, escuches y compartas"
379;Si bien se mostraron conformes con el hallazgo del submarino, también hubo tristeza. TN.com.ar confirmó en exclusiva la información.;17/11/2018;política;Sentimientos encontrados de los familiares del ARA San Juan, entre la esperanza y la desilusión
380;Xi Jinping y Donald Trump se encontrarán el 30 de noviembre en la Argentina. La disputa arancelaria que preocupa a todo el mundo.;17/11/2018;internacional;Antes de la cumbre del G20, el presidente de China le envió un fuerte mensaje a EEUU por la guerra comercial
381;El organismo informó que los restos del submarino están a 907 metros de profundidad. TN.com.ar anticipó en exclusiva la información.;17/11/2018;política;El tuit de la Armada que confirmó la aparición del ARA San Juan
382;El Gobierno anunció la reprogramación en los aeropuertos y operativos en las autopistas y avenidas porteñas. ;18/11/2018;política;El G20 en Buenos Aires: qué calles estarán cortadas y qué pasará con los medios de transporte
383;La modelo y la estrella de la cumbia protagonizaron un tenso cruce sobre publicar o no fotos sexies en las redes sociales. ;18/11/2018;show;Fuerte discusión en vivo entre Rocío Guirao Díaz y Dalila
384;Cuando les negaron el acceso, dieron marcha atrás y escaparon a toda velocidad, pero fueron aprehendidos.;18/11/2018;política;"Incidente en la quinta ""Los Abrojos"", de Macri: detuvieron a cuatro jóvenes que intentaron burlar la seguridad "
385;Usó una imagen del personaje de la famosa serie televisiva. Dice que ya no dejan los autos en infracción.;18/11/2018;autos;"Neuquén: cansada de que estacionen y le tapen la cochera, escribió un cartel ""inspirada"" en Pablo Escobar"
386;El ministro de Defensa se presentará el 4 de diciembre en la Comisión Bicameral y dará a conocer un informe sobre la investigación. ;18/11/2018;política;Oscar Aguad expondrá en el Congreso tras la aparición del ARA San Juan
387;"Acompañados por los vecinos de Mar del Plata, los parientes de los marino exigieron justicia en la puerta del predio. ""No vamos a bajar los brazos"", aseguraron. ";18/11/2018;sociedad;ARA San Juan | Los familiares marcharon a la base naval y pidieron que se reflote el submarino
388;El alemán superó 6-4 y 6-3 al serbio en la final. Alcanzó el cuarto lugar del ranking ATP y desplazó a la quinta posición a Juan Martín del Potro.;18/11/2018;deportes;Alexander Zverev dio el golpe: superó a Novak Djokovic y ganó el Masters de Londres 
389;"Mientras que la jueza analiza qué tan factible es esa misión, el ministro de Defensa aseguró que no existe la tecnología para hacerlo. Un grupo de parientes sostiene que los restos ""deben descansar en el mar"".";18/11/2018;política;Reflotar el submarino, la decisión que divide al Gobierno, los familiares y la Justicia
390;En el segundo partido de Jorge Almirón como director técnico del equipo, el Ciclón cayó por 2 a 0 en el Nuevo Gasómetro.;18/11/2018;deportes;San Lorenzo sigue en crisis: perdió como local ante Atlético Tucumán 
391;Fue en Pilar. Tras el femicidio, el atacante se escapó rápidamente del lugar y se suicidó a metros de la estación Manuel Alberti antes de ser detenido. ;18/11/2018;policiales;Asesinó a puñaladas a su exnovia y se tiró a las vías del tren
392;Reclamaron a la Armada que se mantenga la intimidad. El sábado el ministro Oscar Aguad hizo públicas las primeras fotos del naufragio. ;18/11/2018;sociedad;ARA San Juan: los familiares de los tripulantes pidieron que no se difundan imágenes del submarino
393;Existe uno solo en todo el mundo. Se llama SC18 Alston. ;18/11/2018;autos;Infernal: el último Lamborghini tiene 770 caballos de fuerza y te va a dejar sin aliento
394;"Se trata de Marcelo ""Piloto"", el líder del grupo criminal brasileño Comando Vermelho. La atacó con un cuchillo de postre. ";18/11/2018;internacional;El narco defendido por la abogada argentina asesinada mató a una mujer en la cárcel
395;La joven de 24 años ahora es una estrella en Instagram, donde tiene más de 58 mil seguidores.;18/11/2018;internacional;La increíble transformación de una mujer víctima de bullying que gastó millones en cirugías estéticas
